,證券代號,證券名稱
894,5534,長虹
895,5538,東明-KY
896,5546,永固-KY
897,5607,遠雄港
898,5608,四維航
899,5706,鳳凰
900,5871,中租-KY
901,5876,上海商銀
902,5880,合庫金
903,5906,台南-KY
904,5907,大洋-KY
905,6005,群益證
906,6024,群益期
907,6108,競國
908,6112,聚碩
909,6115,鎰勝
910,6116,彩晶
911,6117,迎廣
912,6120,達運
913,6128,上福
914,6131,鈞泰
915,6133,金橋
916,6136,富爾特
917,6139,亞翔
918,6141,柏承
919,6142,友勁
920,6152,百一
921,6153,嘉聯益
922,6155,鈞寶
923,6164,華興
924,6165,捷泰
925,6166,凌華
926,6168,宏齊
927,6172,互億
928,6176,瑞儀
929,6177,達麗
930,6183,關貿
931,6184,大豐電
932,6189,豐藝
933,6191,精成科
934,6192,巨路
935,6196,帆宣
936,6197,佳必琪
937,6201,亞弘電
938,6202,盛群
939,6205,詮欣
940,6206,飛捷
941,6209,今國光
942,6213,聯茂
943,6214,精誠
944,6215,和椿
945,6216,居易
946,6224,聚鼎
947,6225,天瀚
948,6226,光鼎
949,6230,超眾
950,6235,華孚
951,6239,力成
952,6243,迅杰
953,6251,定穎
954,6257,矽格
955,6269,台郡
956,6271,同欣電
957,6277,宏正
958,6278,台表科
959,6281,全國電
960,6282,康舒
961,6283,淳安
962,6285,啟碁
963,6288,聯嘉
964,6289,華上
965,6405,悅城
966,6409,旭隼
967,6412,群電
968,6414,樺漢
969,6415,矽力-KY
970,6416,瑞祺電通
971,6431,光麗-KY
972,6442,光聖
973,6443,元晶
974,6449,鈺邦
975,6451,訊芯-KY
976,6452,康友-KY
977,6456,GIS-KY
978,6464,台數科
979,6477,安集
980,6491,晶碩
981,6504,南六
982,6505,台塑化
983,6525,捷敏-KY
984,6531,愛普
985,6533,晶心科
986,6541,泰福-KY
987,6552,易華電
988,6558,興能高
989,6573,虹揚-KY
990,6579,研揚
991,6581,鋼聯
992,6582,申豐
993,6591,動力-KY
994,6592,和潤企業
995,6605,帝寶
996,6625,必應
997,6641,基士德-KY
998,6655,科定
999,6666,羅麗芬-KY
1000,6668,中揚光
1001,6669,緯穎
1002,6670,復盛應用
1003,6671,三能-KY
1004,6672,騰輝電子-KY
1005,6674,鋐寶科技
1006,6698,旭暉應材
1007,6706,惠特
1008,6715,嘉基
1009,8011,台通
1010,8016,矽創
1011,8021,尖點
1012,8028,昇陽半導體
1013,8033,雷虎
1014,8039,台虹
1015,8046,南電
1016,8070,長華
1017,8072,陞泰
1018,8081,致新
1019,8101,華冠
1020,8103,瀚荃
1021,8104,錸寶
1022,8105,凌巨
1023,8110,華東
1024,8112,至上
1025,8114,振樺電
1026,8131,福懋科
1027,8150,南茂
1028,8163,達方
1029,8201,無敵
1030,8210,勤誠
1031,8213,志超
1032,8215,明基材
1033,8222,寶一
1034,8249,菱光
1035,8261,富鼎
1036,8271,宇瞻
1037,8341,日友
1038,8367,建新國際
1039,8374,羅昇
1040,8404,百和興業-KY
1041,8411,福貞-KY
1042,8422,可寧衛
1043,8427,基勝-KY
1044,8429,金麗-KY
1045,8442,威宏-KY
1046,8443,阿瘦
1047,8454,富邦媒
1048,8462,柏文
1049,8463,潤泰材
1050,8464,億豐
1051,8466,美吉吉-KY
1052,8467,波力-KY
1053,8473,山林水
1054,8478,東哥遊艇
1055,8480,泰昇-KY
1056,8481,政伸
1057,8482,商億-KY
1058,8488,吉源-KY
1059,8497,格威傳媒
1060,8499,鼎炫-KY
1061,8926,台汽電
1062,8940,新天地
1063,8996,高力
1064,9103,美德醫療-DR
1065,910322,康師傅-DR
1066,910482,聖馬丁-DR
1067,9105,泰金寶-DR
1068,910861,神州-DR
1069,9110,越南控-DR
1070,911608,明輝-DR
1071,911616,杜康-DR
1072,911622,泰聚亨-DR
1073,911868,同方友友-DR
1074,912000,晨訊科-DR
1075,912398,友佳-DR
1076,9136,巨騰-DR
1077,9188,精熙-DR
1078,9802,鈺齊-KY
1079,9902,台火
1080,9904,寶成
1081,9905,大華
1082,9906,欣巴巴
1083,9907,統一實
1084,9908,大台北
1085,9910,豐泰
1086,9911,櫻花
1087,9912,偉聯
1088,9914,美利達
1089,9917,中保科
1090,9918,欣天然
1091,9919,康那香
1092,9921,巨大
1093,9924,福興
1094,9925,新保
1095,9926,新海
1096,9927,泰銘
1097,9928,中視
1098,9929,秋雨
1099,9930,中聯資源
1100,9931,欣高
1101,9933,中鼎
1102,9934,成霖
1103,9935,慶豐富
1104,9937,全國
1105,9938,百和
1106,9939,宏全
1107,9940,信義
1108,9941,裕融
1109,9941A,裕融甲特
1110,9942,茂順
1111,9943,好樂迪
1112,9944,新麗
1113,9945,潤泰新
1114,9946,三發地產
1115,9955,佳龍
1116,9958,世紀鋼
